,word1,word2,prediction
108,attorney,lawyer,-136597.4945085007
109,auto,bright,-104074.56250208309
110,automobile,fabric,-27711.781609993915
111,automobile,racing,-176718.08591935373
112,autumn,foliage,-34355.51965841875
113,autumn,hat,-42738.38408269554
114,autumn,sunshine,-10108.887970494103
115,autumn,winter,-396018.36679628846
116,award,citation,-319401.74345641804
117,baby,treat,-166157.99297054592
118,back,lumbar,-4260295.786711763
119,back,shifting,-4191263.630531609
120,bacon,bread,-58443.24417757804
121,bacon,pepper,-70819.31660218172
122,bacon,salad,-20712.608165076515
123,bacon,tomato,-14149.616567243147
124,bacon,wild,-228777.92258651197
125,bag,cop,-116628.31100551877
126,bag,flag,-111311.90614215535
127,bakery,cake,-45146.25957928296
128,bakery,vehicle,-297531.02307322563
129,balance,gauge,-257860.254480988
130,banana,salad,-23547.272750787524
131,band,guitar,-244354.37543043945
132,band,metal,-109091.91877036536
133,band,play,-1958563.3120236362
134,band,uniform,-196495.57623264712
135,band,vinyl,-288367.48149366665
136,bank,smell,-2444266.746549361
137,bankruptcy,enterprise,-152730.851673785
138,bar,diner,-292707.20512143185
139,bar,ship,-68043.2249897075
140,bar,stair,-305837.5168958189
141,bar,sushi,-295355.73256498674
142,barn,food,-1112527.0949590423
143,barrel,gallon,-51044.47767388753
144,base,club,-193359.88105602493
145,baseball,born,-200208.0043804437
146,baseball,cactus,-520212.83340955747
147,baseball,game,-3102533.3089290163
148,baseball,hockey,-318891.62492765515
149,baseball,season,-2240053.008949121
150,basket,dinner,-155419.5248352019
151,basketball,lesson,-279547.35082092957
152,basketball,squash,-363343.24653143116
153,bat,bats,-79640.61069580028
154,bath,bedroom,-35531.1563560768
155,bath,floor,-520260.67439121346
156,bath,hot,-367208.4841108655
157,bath,sleep,-117187.36501005501
158,bathroom,chamber,-139700.65489109265
159,bay,curve,-439128.2056279229
160,bay,harbour,-468926.5774116457
161,beach,cliff,-501245.15068577026
162,beach,pebble,-523566.884902015
163,bead,chess,-38484.933623432524
164,bead,gold,-721919.7316350343
165,bead,redhead,-1583.8083848748759
166,beam,column,-267598.39231206285
167,beard,hair,-197972.67510441964
168,beat,meter,-639725.3065003769
169,bed,candy,-132443.3254641394
170,bed,floor,-389311.5580303268
171,bed,furniture,-80775.04978642863
172,bed,layer,-130704.99451053876
173,bed,pillow,-171228.16563579693
174,bed,relax,-137031.75165632248
175,bed,sitting,-103153.69362267137
176,bed,staircase,-169443.71345966237
177,bedroom,canyon,-20278.28476474294
178,bedroom,ceiling,-40440.05338769957
179,bedroom,cell,-222257.93510693932
180,bedroom,construction,-463977.8995588048
181,bedroom,door,-370177.30250921677
182,bedroom,downtown,-247976.59470401678
183,bedroom,room,-937159.3851730874
184,bedroom,stair,-67898.04778489596
185,bedroom,staircase,-54437.67675975912
186,beef,chicken,-45268.17680225238
187,beef,lamb,-115537.71352679627
188,beef,pepper,-88415.37865665676
189,beef,potato,-114125.9512118084
190,beer,patio,-142761.7047705722
191,beer,wild,-116506.23311222447
192,being,characters,-3239356.7373995725
193,believe,week,-2998607.8674534974
194,belly,black,-1216210.5529142574
195,belly,dance,-206171.0926948782
196,belly,dark,-253704.22295854648
197,belly,field,-1162580.3551152935
198,belly,stripe,-17108.046907815064
199,bench,game,-3440440.869152826
200,benefited,get,-4301198.624592219
201,bent,double,-414794.9914463768
202,bent,inclination,-39738.950967533136
203,berlin,germany,-683310.2924352898
204,berry,blossom,-29890.18345544248
205,berry,bright,-121829.69447142206
206,berry,dessert,-18936.58108001561
207,berry,ivy,-16810.178672459275
208,berry,raspberry,-34816.26708881922
209,berry,seed,-100547.3838595514
210,berry,sweet,-100300.34320479662
211,bias,prejudice,-24500.669235757712
212,bible,misty,-83355.70723111895
213,bicycle,green,-587815.4135653471
214,bigger,large,-902841.5303335356
215,bike,chopper,-40454.69761350345
216,bikini,ivy,-18166.0685620196
217,bin,cup,-1054503.9364056443
218,bird,cock,-170218.85865849294
219,bird,dragonfly,-171096.04131013688
220,bird,flamingo,-167283.96018447183
221,bird,goose,-155057.23670309637
222,bird,insect,-156790.18790727956
223,bird,reptile,-167407.5480436889
224,bird,shade,-138244.8290859372
225,bird,solid,-41094.12268196025
226,bishop,priest,-15782.12945074275
227,bishop,radical,-63060.48189635103
228,bishop,wine,-142360.02096796772
229,bit,curb,-433906.0680389243
230,bit,tool,-418547.48849801935
231,bitter,taste,-44547.922162543065
232,black,blue,-755598.0902351456
233,black,bright,-1081859.3013382093
234,black,brown,-656574.4156415183
235,black,cigarette,-1140194.195348756
236,black,juvenile,-1180322.9421624416
237,black,skirt,-1212420.7965479637
238,black,white,-1009161.241754261
239,blast,smashing,-240670.85019378655
240,blaze,pig,-33066.94970813002
241,blessing,patronage,-38316.87462463503
242,blizzard,rash,-8660.743559302582
243,block,hinder,-370120.72067097237
244,blonde,haircut,-9696.550211286502
245,blonde,wig,-8444.006158216647
246,bloom,flower,-73769.87092980431
247,bloom,friend,-412101.5157979877
248,bloom,plant,-485509.8053273491
249,bloom,purple,-75198.92015847034
250,blossom,bud,-33665.6513378249
251,blossom,cherry,-25324.520350837956
252,blossom,daisy,-2285.2890407998634
253,blossom,foliage,-5892.183805687025
254,blossom,orange,-180321.17273076985
255,blossom,petal,-9023.093649076238
256,blossom,purple,-39514.82320598171
257,blow,contact,-350263.2433770346
258,blow,swat,-212328.57252616773
259,blowing,smoking,-86868.13561945502
260,blue,colour,-490513.3302469974
261,blue,happy,-182779.5325221071
262,blue,report,-1853750.0264140258
263,blue,shade,-460631.64235102123
264,blue,skirt,-466099.98384359526
265,blues,rhythm,-71680.429149106
266,blur,focus,-582317.9075668212
267,blur,metro,-43939.73387493358
268,board,deal,-465553.36148823955
269,boardwalk,park,-821939.6151007685
270,boast,complain,-74901.88109119819
271,boat,negro,-255042.114136077
272,boat,shore,-148402.86540697285
273,bold,forward,-613281.4474692671
274,bold,leader,-1798017.6218683177
275,bone,skull,-63121.75765138352
276,book,building,-274318.43475967844
277,book,smoking,-917987.4454010796
278,booklet,reference,-133588.1627727549
279,boot,kick,-157758.9985959602
280,boot,punch,-36281.010404893896
281,bootleg,produce,-374713.73795605527
282,bootleg,whiskey,-7322.905434320427
283,born,construction,-208245.88477326583
284,born,mother,-384609.49545480526
285,born,subway,-320752.8875302624
286,bottle,wine,-161536.96635754968
287,bound,line,-1415119.8673585916
288,bound,skirt,-103183.16888427101
289,bowling,wheel,-39321.55993853783
290,boxer,stair,-43389.02632002742
291,boxing,hit,-1522544.5721538004
292,boy,hand,-481760.8110452739
293,boy,live,-535888.9779777158
294,bracelet,jewelry,-60700.458597937984
295,bracelet,mountain,-341454.3883537012
296,brain,head,-1446210.1083103365
297,brake,click,-36171.21499203466
298,branch,tea,-93375.80841417094
299,brass,executive,-1289791.299477555
300,brazil,nut,-336831.0869738718
301,brazil,triple,-229501.06161410245
302,bread,bun,-92925.3303357057
303,bread,cooking,-36088.318109881584
304,bread,cover,-422676.6937837948
305,bread,dessert,-74699.09993433661
306,bread,egg,-31949.55328326199
307,bread,medicine,-187572.71520399756
308,break,glittering,-678117.0516312072
309,break,scattered,-565591.5506149291
310,breakfast,diner,-85013.00650488738
311,breakfast,evening,-351775.4322916827
312,breakfast,lunch,-82755.37881612318
313,breakfast,makeup,-37053.30836780996
314,breakfast,morning,-932272.5712360094
315,breakfast,people,-8451159.62326845
316,breakfast,relax,-54812.694998512816
317,brick,cement,-14490.297926543806
318,brick,construction,-467758.2070503953
319,brick,skyscraper,-54042.516965811286
320,bride,photographer,-39764.298459799465
321,bright,dark,-119350.53056019475
322,bright,fruit,-46630.27236677902
323,bright,mist,-148117.61608262509
324,bright,raspberry,-155893.64264459212
325,bright,shade,-126758.02482683279
326,bright,sky,-40611.58696726835
327,bring,presenting,-902942.5472985536
328,bring,return,-496201.4685155614
329,broadcast,packet,-297887.2972803643
330,bronze,sculpture,-87082.75379201106
331,bronze,suspicion,-58881.84615821774
332,brown,green,-90623.93495098288
333,brown,hawk,-564441.8777527068
334,brown,purple,-549958.8204965899
335,brown,white,-1605541.0491451179
336,brussels,sweden,-119252.26425942582
337,bucket,water,-1259652.410342235
338,bud,flower,-17553.9644240267
339,bud,ivy,-20140.102085143502
340,budget,fund,-294065.2896926108
341,budget,scale,-942400.7126334301
342,bug,insect,-25522.440263423072
343,building,cafe,-1156842.27091164
344,building,construction,-721853.6728665992
345,building,downtown,-931935.6130017786
346,building,floor,-731863.5158060552
347,building,ministry,-348908.39407930564
348,building,tall,-1140462.5304585837
349,building,zombie,-1240344.8905889047
350,burger,cooking,-99179.19812137992
351,burger,dessert,-12996.916288104665
352,burger,salad,-30062.99770482012
353,burger,soup,-40276.84399254726
354,burn,fire,-1057397.9840807344
355,burn,ripple,-71167.35277499087
356,bus,rail,-264865.5568340292
357,business,railway,-2490712.212318395
358,butter,stick,-107200.47569857148
359,butterfly,caterpillar,-19772.343791265637
360,butterfly,dragonfly,-31130.314534228593
361,butterfly,glittering,-18164.322695878287
362,button,sticker,-42339.60821736556
363,cafe,child,-582520.4404284891
364,cafe,coffee,-149398.47068159768
365,cafe,dinner,-159567.48273379492
366,cafe,donut,-87710.56215758774
367,cafe,lunch,-96483.87649757863
368,cafe,pub,-61377.31675464458
369,cafe,reflection,-42076.43999912511
370,cafe,relax,-46751.43730410867
371,cafe,shop,-156021.49539406426
372,cafe,spiral,-59732.928732818684
373,cake,christmas,-273394.7681576952
374,call,meeting,-595746.2272570432
375,call,statement,-603128.7032831402
376,call,telephone,-1075996.3352377182
377,camel,desert,-173456.71682584137
378,camp,camp,-0.0
379,campaign,conspiracy,-1704995.084226343
380,can,sketch,-6755637.794219727
381,candidate,republic,-236916.52346554515
382,canine,dog,-207969.28026754363
383,canyon,landscape,-62287.24197618625
384,canyon,river,-527459.6560676467
385,car,insurance,-685972.2519949325
386,car,pig,-1180182.3922538413
387,car,skull,-1181896.7318412394
388,card,playing,-630719.4730845082
389,card,see,-2165061.8125032815
390,carrier,carrier,-0.0
391,carrier,traveler,-133143.5744713202
392,carrier,vehicle,-161820.45731303538
393,carrot,memorial,-241400.15936614474
394,carrot,salad,-44209.35350126713
395,cart,wagon,-36150.91824559899
396,cartoon,wit,-25816.53224195698
397,case,clients,-1863357.2102313067
398,cast,cast,-0.0
399,cast,shoot,-222373.68657509825
400,castle,patio,-52998.1170514575
401,castle,ruin,-32456.48053933134
402,cat,garden,-192482.75201949908
403,catch,catching,-208793.0660462651
404,catch,hooks,-255413.4083207066
405,catching,perceive,-45770.06239890858
406,catching,playing,-900010.6898770703
407,category,flavor,-490313.1551386322
408,catering,loan,-254816.92470477667
409,caterpillar,paint,-110018.25683494526
410,cathedral,step,-662495.7774167325
411,cattle,goat,-98307.56649414107
412,cattle,web,-757903.8629107252
413,cautious,film,-926720.6637174976
414,ceiling,marble,-62368.14726284577
415,ceiling,mug,-82916.29547923616
416,ceiling,room,-905328.4830325401
417,ceiling,staircase,-86942.26572271976
418,ceiling,wall,-673805.4063756092
419,cell,membrane,-282210.8578563204
420,cemetery,grave,-47267.78121511542
421,cemetery,memorial,-165068.37628691885
422,center,center,-0.0
423,center,refer,-2232328.7362200916
424,century,period,-291562.0139970222
425,century,temperature,-695566.9876295155
426,ceramic,floor,-541675.3976174303
427,chance,fortune,-900470.3942412542
428,chance,opportunity,-488182.40509055706
429,chance,ring,-807880.9610511926
430,change,laundering,-1312486.5440940708
431,change,transforming,-1332197.282099764
432,change,yielding,-1339224.8272373837
433,channel,sound,-197590.3283513647
434,chaos,death,-1486011.7803328484
435,chapel,porch,-20519.14272088381
436,chapel,ruin,-17847.508453562972
437,charcoal,fuel,-393688.1596860642
438,charge,damage,-277129.7726860101
439,charge,sentence,-495846.3690600131
440,checked,checked,-0.0
441,cheer,musician,-19622.755183714675
442,cheese,food,-1051563.7986289738
443,cheetah,flame,-33481.51867821991
444,chemical,intermediate,-276650.74540835846
445,chemistry,patient,-143306.31868832582
446,cherry,fruit,-87282.03271005998
447,cherry,grape,-14619.741174179439
448,cherry,lamb,-7698.632735752582
449,cherry,meat,-139604.07380517264
450,cherry,orange,-155663.97355200714
451,cherry,raspberry,-30172.60883649266
452,chess,family,-1969011.551251288
453,chess,toy,-41141.68867462777
454,chicken,lamb,-122746.96857356586
455,chicken,poultry,-104915.71302240666
456,chief,guru,-1971786.9679110898
457,child,lad,-661910.9134173575
458,child,street,-591802.9450484343
459,chile,plate,-69303.79027874283
460,chocolate,rock,-304919.6461840398
461,choice,option,-215160.79737489345
462,chopper,poppy,-6338.169767369778
463,chord,play,-2237362.256208636
464,christmas,valentine,-297790.5265333335
465,church,porch,-912423.4619199578
466,church,temple,-805718.5621574081
467,circle,oval,-82926.78371913359
468,circle,sport,-175032.53125347852
469,city,round,-3009526.6488278504
470,city,ruin,-4078786.759754915
471,city,sidewalk,-4067485.9381581107
472,city,square,-3666743.319576652
473,city,urban,-3898120.1088606785
474,class,sex,-120969.41400205228
475,cliff,coast,-658932.2255262672
476,cliff,harbour,-32449.34939255339
477,cliff,waterfall,-32329.32282000357
478,clinic,session,-405483.62658312166
479,clock,timer,-119638.74808355348
480,close,short,-778030.7313062892
481,closed,closed,-0.0
482,closed,state,-4359529.107096546
483,closed,up,-9228189.970702646
484,closing,closing,-0.0
485,closing,finale,-292157.1330534314
486,clothes,short,-655965.8550976568
487,cloud,energy,-753007.2425375481
488,club,hockey,-627026.179941476
489,club,shirt,-761203.518487664
490,clubhouse,pop,-122298.75132232554
491,clue,parish,-24096.04660520075
492,coast,scenery,-678479.0936285359
493,coast,sunk,-673290.8336959594
494,coast,zebra,-694023.2515298023
495,coat,resurfacing,-54438.807003827744
496,coat,roof,-116062.21752146582
497,cock,penis,-5889.334427590296
498,cocktail,garage,-43610.17186391285
499,cocktail,restaurant,-284116.36078374623
500,coffee,meeting,-1708256.285189665
501,coffee,tea,-133162.53041678068
502,coin,gold,-693939.7361169063
503,coin,silver,-232350.32169764696
504,coin,ticket,-178909.93964282708
505,cold,mist,-428021.62853645586
506,cold,rain,-344821.1430568027
507,cold,silver,-200520.7449841535
508,cold,sunny,-365556.4342902475
509,cold,sunshine,-389997.91793803254
510,cold,water,-848809.3449473798
511,cold,weather,-109519.00210009198
512,cold,winter,-72590.19880121546
513,coldness,cool,-218118.6183845847
514,collage,exhibition,-191262.80401322193
515,collage,paint,-117821.5535757361
516,collage,sculpture,-43954.88976211902
517,collage,stream,-93006.33688088157
518,collapse,shock,-175740.3952254576
519,collar,tiger,-136973.5189407064
520,collect,collect,-0.0
521,collect,scrape,-112766.29745185368
522,collection,library,-144512.08311764133
523,collection,packet,-326789.4469761842
524,color,quality,-121968.60005755551
525,color,wash,-239272.65719049601
526,colorful,outfit,-32978.74130405823
527,colorful,shot,-1256784.124800277
528,colorful,toy,-21403.216907745453
529,colorful,wood,-132136.37247177606
530,colors,emblem,-91615.35901801624
531,colour,grey,-16685.078962953623
532,colour,shade,-30402.708283967124
533,comfort,relief,-264945.70442451024
534,comment,mention,-532616.6745793831
535,commercial,manufacture,-473195.92303717014
536,commitment,guarantee,-128176.92698375974
537,communication,theater,-303123.36981004936
538,compact,short,-791132.2118211344
539,company,distributor,-4203062.915754298
540,compartment,stalls,-5396.009544098278
541,compatible,software,-534081.3506657942
542,competes,race,-1271598.932716602
543,compound,enhance,-119585.98917933488
544,compound,whole,-503722.5782084817
545,computer,lab,-936890.9625479376
546,computer,number,-993780.2934059432
547,computer,platform,-903227.5711214754
548,computer,railway,-979474.7474202684
549,concentration,focus,-518020.45910851884
550,concert,jazz,-27057.36785055043
551,concert,sing,-85568.61360335314
552,concerts,settle,-153908.9291366812
553,conclusion,judgment,-22309.19839438428
554,conclusion,situation,-726980.5733016531
555,concoct,request,-428962.9524492756
556,concrete,interior,-219919.3044755303
557,concrete,pin,-121678.42803060841
558,cone,palm,-254264.81861633947
559,congress,sex,-1086444.4002713638
560,connection,keyboard,-243683.49143304784
561,consequences,position,-722044.3397562236
562,consistency,phase,-131089.4229829392
563,construction,downtown,-224791.11248000883
564,construction,interior,-179329.31993960167
565,contact,print,-422370.66080162
566,control,driving,-1268357.1550107643
567,cooking,dessert,-105678.18225632021
568,cooking,eat,-90293.47745546198
569,cooking,food,-1017075.1161566181
570,cooking,frozen,-31428.17512996892
571,cooking,salad,-76808.12164738843
572,cool,cool,-0.0
573,cool,jazz,-72344.35397458471
574,cool,state,-4971473.383383635
575,cop,dirty,-54237.75808419798
576,cop,music,-926154.4947669362
577,cop,ruin,-8695.601301807696
578,cord,eclipse,-10024.479637367742
579,corn,pepper,-87900.18480640458
580,cost,price,-378399.9183826561
581,costume,halloween,-7137.26165976846
582,costume,radiation,-39217.36546480393
583,cottage,patio,-10713.466712507165
584,council,minister,-1571812.7121158564
585,count,investigation,-634038.9697778826
586,count,number,-1688823.396625594
587,counter,furniture,-50072.630877556236
588,counter,negative,-78786.59795295121
589,couple,family,-1411570.2873537682
590,couple,makeup,-546088.3755061986
591,couple,race,-713726.7588321182
592,cousin,relation,-32515.900033675887
593,cover,feather,-505466.36197080393
594,cover,sleeve,-504757.0848903454
595,covering,skin,-42571.148528081845
596,cowboys,ranch,-125691.00748661342
597,crack,cracking,-104136.63497540122
598,cracking,noise,-57243.2853442219
599,cracking,sound,-396946.491635838
600,craft,game,-3536480.914436412
601,crane,stair,-29701.34572708788
602,crash,swing,-296746.4555946718
603,creation,stitch,-190900.35938677544
604,credit,flap,-564364.6757150902
605,credit,foundation,-218584.4697594043
606,crew,unit,-154186.60293618264
607,critic,reviewers,-101150.55397277877
608,crochet,family,-2008934.2044322914
609,crochet,jewelry,-66298.56142481515
610,crochet,knitting,-5659.783653108989
611,cross,mug,-435833.8735504621
612,cross,post,-317390.7005238178
613,cross,pub,-430228.2338085216
614,cross,shopping,-235813.16505445522
615,crush,push,-357416.1329095256
616,crush,split,-228352.028996898
617,crystal,spiral,-26337.04311421449
618,cube,dice,-18271.52722133523
619,cup,handbag,-1378318.4186370005
620,curb,smother,-92329.24991572263
621,curb,train,-314929.0336186866
622,current,flow,-941053.3476971437
623,cut,gore,-849808.530860335
624,cute,fashion,-259397.64415275693
625,cute,friend,-434326.2107794093
626,cute,fun,-265159.92470582714
627,cute,haircut,-20732.438279179634
628,cylinder,pen,-66931.1795428706
629,daisy,foliage,-6991.8532593296795
630,daisy,grass,-110715.333825085
631,daisy,petal,-7990.097308543901
632,dance,hotel,-418292.4734094546
633,dandelion,foliage,-14283.020758929113
634,dandelion,grass,-118497.18681892836
635,dandelion,petal,-453.74111561549773
636,danger,status,-159941.58567114422
637,dark,flamingo,-273913.7508578201
638,dark,pod,-273255.5195416918
639,dark,white,-1912412.8040054527
640,dashboard,protection,-401078.7780449128
641,daughter,graphic,-285728.97880159185
642,daughter,pub,-417125.9179564362
643,dawn,day,-4107117.7556682033
644,day,glide,-4214333.51647304
645,day,horse,-4032867.55524825
646,day,independence,-3767989.9044945696
647,day,night,-2022751.0118796155
648,day,sunny,-4145911.842097344
649,day,sunset,-4179461.330202974
650,day,weather,-3754437.8590019327
651,dead,sidewalk,-749201.2811274417
652,deaf,people,-8519038.537422339
653,death,funeral,-1422966.7563572945
654,decision,option,-1439331.9345960487
655,decoration,tulip,-5470.110145143298
656,defeat,ending,-60009.64739939743
657,defeated,people,-8323606.862888291
658,degree,quantity,-229622.28024954355
659,demand,supply,-409304.87887881364
660,demolition,interior,-353864.333934631
661,demolition,skyscraper,-18270.53666425813
662,demolition,tall,-79806.47117872069
663,desert,mountain,-161798.23350704435
664,deserve,merit,-30175.114200281005
665,deserve,want,-2694641.901920178
666,design,graphic,-191059.87919497854
667,design,orange,-160661.26556827564
668,designation,recognition,-122534.94363241855
669,designs,intend,-39749.54278982337
670,dessert,head,-1661765.4459345315
671,dessert,salad,-32783.45573608777
672,determination,selection,-72213.31692977402
673,development,twist,-905890.5069344754
674,diamond,parade,-54059.5547058981
675,diamond,short,-759855.4373181795
676,diamond,stencil,-85895.84426501695
677,difficulty,problem,-1095741.9716050853
678,digit,toe,-34117.71544227395
679,dilute,market,-2809620.517079126
680,dinner,sitting,-73132.8351016146
681,dinner,sleep,-104737.81765914371
682,direction,direction,-0.0
683,direction,traveling,-104915.49673904249
684,dirt,racing,-165441.96319555663
685,dirt,road,-849788.5997599636
686,dirt,sand,-22681.568243840542
687,dirty,dude,-82257.56410811105
688,dirty,rabbit,-72843.44043906768
689,dirty,washing,-61932.66093104697
690,discharge,spread,-431825.25787174614
691,discipline,discipline,-0.0
692,disk,dot,-36871.59285954425
693,display,stick,-86785.16697569951
694,dissipate,isolate,-24062.792481339337
695,distinction,sword,-29712.47175850571
696,distinguish,medal,-239602.92182275327
697,distinguish,sex,-344028.0524506681
698,disturbance,upset,-201489.1110233998
699,diversion,skiing,-46898.147639325696
700,dock,herb,-16669.698947491517
701,dog,husky,-209195.0705083653
702,dog,secretary,-839995.7608839455
703,doll,new,-14001477.280775623
704,dome,interior,-303632.5785138997
705,dome,uniform,-42559.09476245907
706,donut,panda,-7421.379521355808
707,door,interior,-120287.3727288114
708,door,porch,-405595.7102324926
709,door,room,-579428.8467508317
710,downtown,field,-879088.9604346068
711,downtown,hockey,-122022.634367563
712,downtown,ruin,-280028.7512363691
713,downtown,shopping,-94598.20917966688
714,downtown,subway,-196625.2922591592
715,drag,drawing,-103834.55544278129
716,dragon,drop,-479598.6982415607
717,dragonfly,frog,-12442.71019513028
718,dragonfly,insect,-14550.56693053564
719,draw,draw,-0.0
720,draw,entertainer,-363049.4848502057
721,dress,match,-877759.1979261719
722,dress,neckline,-138303.58547051498
723,dress,outfit,-106329.05289712669
724,dressing,patch,-16325.17978461495
725,drill,implement,-63558.919256073066
726,drink,turn,-816329.1287838508
727,dripping,hot,-393273.0596621126
728,dripping,round,-1138751.5231717578
729,dripping,wet,-64786.4215480374
730,drive,drive,-0.0
731,drive,operate,-460918.64300004084
732,drop,drop,-0.0
733,drop,measure,-120314.84839370396
734,drop,sink,-452481.71045358275
735,dropping,dropping,-0.0
736,drought,time,-7238503.321827792
737,drug,reflection,-1030814.3193669773
738,drug,sing,-1004708.9026623572
739,drug,wolf,-1013577.2780641835
740,dude,fun,-283252.0163970588
741,dude,hanging,-107546.65367643937
742,dude,sitting,-270862.84245167277
743,dude,smile,-101499.9295911085
744,dusk,hummingbird,-15375.056227539437
745,dusk,misty,-10061.475339133925
746,dye,kiss,-36866.68506931414
747,eagle,feather,-70749.99096113032
748,ear,organ,-27483.10855780329
749,earn,make,-3992661.4666345045
750,ease,relaxation,-190279.4166062112
751,ease,rest,-796372.829849814
752,east,israel,-382692.4735920481
753,easter,preference,-18389.876644501954
754,eat,rabbit,-186705.0647572261
755,eat,soup,-142440.82448862772
756,eat,truck,-146354.09310299464
757,educated,learned,-322789.69637211226
758,effects,effects,-0.0
759,egg,lego,-66553.51385914942
760,egg,nest,-43412.370713887474
761,egg,white,-2115020.1684690863
762,eight,movement,-559342.2829332693
763,element,mixture,-49050.0851579281
764,element,situation,-765339.2322107886
765,elephant,giraffe,-34860.39430356453
766,emission,gum,-9671.730868877623
767,endeavor,worst,-532437.8487532599
768,enemy,strike,-507606.7691294117
769,enforcing,execute,-11690.535017696959
770,engine,gasoline,-70214.91879935503
771,engineering,technology,-800075.2576633032
772,english,french,-746906.2798972841
773,enhanced,increased,-592437.1492386338
774,enjoy,suffering,-88619.64364067384
775,enterprise,industry,-1512670.7864518987
776,entrance,registration,-59321.00740041401
777,equipment,seat,-151055.00810631804
778,escalator,railway,-66460.10516091593
779,escalator,redhead,-1827.4296156076873
780,establishment,establishment,-0.0
781,evaluate,forecast,-233912.7064911193
782,evening,fun,-204073.48993683624
783,evening,night,-1788946.2504930103
784,evening,time,-6887340.374896615
785,event,influence,-439410.5330326077
786,evidence,format,-873744.9581531208
787,evidence,record,-607495.4873116366
788,evil,worst,-418753.01394855714
789,evolution,publicity,-30808.827322700752
790,examination,quiz,-55393.51001696856
791,executive,organization,-439672.8257534228
